id:ID,:LABEL
E36_VisualItem_Artifact_陶器_853_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_854_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_855_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_856_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_857_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_858_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_860_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_862_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_863_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_879_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_907_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_911_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_914_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_921_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_925_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_926_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_931_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_934_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_937_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_975_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_995_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1005_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1007_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1009_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1019_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1029_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1030_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1032_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1034_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1035_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1070_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1074_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1236_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1237_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1238_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1239_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1240_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1241_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1242_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1243_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1244_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1245_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1246_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1247_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1248_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1249_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1250_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1251_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1252_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1253_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1256_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1257_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1264_纹饰类型,E36_VisualItem
E36_VisualItem_Artifact_陶器_1268_纹饰类型,E36_VisualItem
