START_ID,END_ID,TYPE
prod_7dce4ab2,type_87f90d38,P32
prod_8bbec010,type_87f90d38,P32
prod_31e3490f,type_206a1b44,P32
prod_96c8dcfd,type_c67c74d4,P32
prod_3477a599,type_87f90d38,P32
prod_14498496,type_04119f8b,P32
prod_5ca3e696,type_87f90d38,P32
prod_b4b0ef70,type_87f90d38,P32
prod_718954e4,type_87f90d38,P32
prod_9b6ee9d1,type_87f90d38,P32
prod_837c5ac3,type_87f90d38,P32
prod_638d8982,type_87f90d38,P32
prod_29d47607,type_87f90d38,P32
prod_f71bff0b,type_87f90d38,P32
prod_d3e02722,type_87f90d38,P32
prod_f3472832,type_87f90d38,P32
prod_dc8ea7a8,type_87f90d38,P32
prod_f2526dc9,type_87f90d38,P32
prod_fc35941f,type_87f90d38,P32
prod_5bfff732,type_87f90d38,P32
prod_d43c38f3,type_87f90d38,P32
prod_030778ed,type_87f90d38,P32
prod_4ece4928,type_87f90d38,P32
prod_c080c369,type_87f90d38,P32
prod_f52f86da,type_87f90d38,P32
prod_5539de1f,type_87f90d38,P32
prod_dfe30dd7,type_87f90d38,P32
prod_2baf376b,type_87f90d38,P32
prod_b30f4c43,type_87f90d38,P32
prod_f3b4a46d,type_87f90d38,P32
prod_8bb67701,type_87f90d38,P32
prod_3a27aaaa,type_87f90d38,P32
prod_75e465d3,type_87f90d38,P32
prod_22230bda,type_87f90d38,P32
prod_0c4bb15a,type_cca55fb1,P32
prod_88113f98,type_87f90d38,P32
prod_6f678578,type_87f90d38,P32
prod_7ff0e373,type_87f90d38,P32
prod_65f29854,type_87f90d38,P32
prod_e5f6a1a8,type_87f90d38,P32
prod_39b77ad7,type_87f90d38,P32
prod_98ce340f,type_87f90d38,P32
prod_d68ba006,type_87f90d38,P32
prod_6ee916ff,type_87f90d38,P32
prod_58bec8ea,type_4940c8e2,P32
prod_58bec8ea,type_87f90d38,P32
prod_0406f5a4,type_87f90d38,P32
prod_59cd52ba,type_77e49727,P32
prod_e0896224,type_4940c8e2,P32
prod_e0896224,type_87f90d38,P32
prod_b07f1ab1,type_2088277c,P32
prod_a2d24752,type_2088277c,P32
prod_9d2b01c8,type_2088277c,P32
prod_6156ff83,type_2088277c,P32
prod_91880e44,type_2088277c,P32
prod_7e78f77b,type_2088277c,P32
prod_83b4fe91,type_2088277c,P32
prod_dd477323,type_04eb5562,P32
prod_2ebaa450,type_2088277c,P32
prod_51587d37,type_2088277c,P32
prod_9ce51155,type_2088277c,P32
prod_8ebb9737,type_2088277c,P32
prod_595a0b06,type_2088277c,P32
prod_69fb06ef,type_2088277c,P32
prod_fed97fd3,type_46f48820,P32
prod_aafe3a68,type_46f48820,P32
prod_c969dbde,type_2088277c,P32
prod_49bb2b72,type_46f48820,P32
prod_7de438a3,type_46f48820,P32
prod_738310d8,type_46f48820,P32
prod_61d27654,type_46f48820,P32
prod_77b4c8d5,type_46f48820,P32
prod_0be219cc,type_46f48820,P32
prod_3cbbeb1f,type_46f48820,P32
prod_65ba6ae0,type_46f48820,P32
prod_1d5a5a10,type_079ee7f1,P32
prod_81e6225c,type_079ee7f1,P32
prod_76ccc006,type_079ee7f1,P32
prod_61b609ed,type_079ee7f1,P32
prod_ee32eb31,type_079ee7f1,P32
prod_37870e76,type_87f90d38,P32
prod_4e97cd94,type_c4b619a7,P32
prod_9d8a0bec,type_5f71203f,P32
prod_8932a489,type_04eb5562,P32
prod_7fc5807c,type_77e49727,P32
prod_7452ecbd,type_77e49727,P32
prod_ce4c74b4,type_77e49727,P32
prod_65af433b,type_87f90d38,P32
prod_24364454,type_f3a2b99d,P32
prod_24364454,type_ed73936f,P32
prod_eb752777,type_f3a2b99d,P32
prod_eb752777,type_87f90d38,P32
prod_e609c346,type_f3a2b99d,P32
prod_e1d27d66,type_f3a2b99d,P32
