id:ID,:LABEL,metric,value
E54_量度_Artifact_玉器_55_量度信息,E54_量度,量度信息," | {'length': 2.85, 'width': 1.5, 'thickness': None, 'height': 2.85, 'diameter': 1.5, 'hole_diameter': None, 'weight': None}"
E54_量度_Artifact_玉器_56_量度信息,E54_量度,量度信息," | {'length': 2.85, 'width': 1.5, 'thickness': None, 'height': 2.85, 'diameter': 1.5, 'hole_diameter': None, 'weight': None}"
E54_量度_Artifact_玉器_57_量度信息,E54_量度,量度信息,直径 1.05~1.2 厘米
E54_量度_Artifact_玉器_58_量度信息,E54_量度,量度信息,长 1.1~1.3、直径 0.5~0.6 厘米
E54_量度_Artifact_玉器_59_量度信息,E54_量度,量度信息,长 1.7~3.05、直径 0.7~0.9 厘米
E54_量度_Artifact_玉器_60_量度信息,E54_量度,量度信息,长1.15~1.3、直径0.55~0.6厘米
E54_量度_Artifact_玉器_61_量度信息,E54_量度,量度信息,长1.6、直径0.6厘米
E54_量度_Artifact_玉器_62_量度信息,E54_量度,量度信息,"长 1.1~1.2、直径0.5~0.6厘米 |  | {'length': 1, 'diameter': 0.5}"
E54_量度_Artifact_玉器_63_量度信息,E54_量度,量度信息,长2~2.5、直径0.8~0.9厘米
E54_量度_Artifact_玉器_64_量度信息,E54_量度,量度信息,长 1.25~1.9、直径 0.7~0.8 厘米
E54_量度_Artifact_玉器_65_量度信息,E54_量度,量度信息,坠长1.7、最大直径1.27厘米，珠长0.7~1、直径0.7~1厘米
E54_量度_Artifact_玉器_66_量度信息,E54_量度,量度信息,"长1.8~2.35、直径0.7~0.8厘米 | {'length': [1.8, 2.35], 'diameter': [0.7, 0.8]} | "
E54_量度_Artifact_玉器_67_量度信息,E54_量度,量度信息,"长 1.2~1.5、直径0.6~0.8厘米 | {'length': [1.2, 1.5], 'diameter': [0.6, 0.8]} |  | 长1.2~1.5"
E54_量度_Artifact_玉器_68_量度信息,E54_量度,量度信息,"{'length': [1.3, 1.8], 'diameter': [0.7, 0.8]} | "
E54_量度_Artifact_玉器_69_量度信息,E54_量度,量度信息,"{'length': [1.4, 1.6], 'diameter': [0.85, 0.9]} | "
E54_量度_Artifact_玉器_70_量度信息,E54_量度,量度信息,"{'length': [1.3, 2.4], 'diameter': [0.7, 0.9]} | "
E54_量度_Artifact_玉器_71_量度信息,E54_量度,量度信息,"{'length': [0.95, 1.65], 'diameter': [0.6, 0.9], 'length_p': [1.1, 1.4], 'diameter_p': [1.2, 1.3]} | "
E54_量度_Artifact_玉器_72_量度信息,E54_量度,量度信息,"{'length': [1.2, 1.4], 'diameter': [0.7, 0.7], 'length_p': [1.0, 1.3], 'diameter_p': [0.7, 0.9], 'length_z': 0.8, 'diameter_z': 0.7} | "
E54_量度_Artifact_玉器_73_量度信息,E54_量度,量度信息,"{'length': [1.3, 1.65], 'diameter': [0.6, 0.8]} | "
E54_量度_Artifact_玉器_74_量度信息,E54_量度,量度信息,"{""height"": 3.02, ""width"": 5.76, ""thickness"": 0.59, ""width_range"": ""3.9~4.2""}"
E54_量度_Artifact_玉器_75_量度信息,E54_量度,量度信息,"{'height': 3.75, 'width': 5.9, 'thickness': 1.3, 'hole_diameter': 0.3} | {'length': None, 'width': 5.9, 'thickness': 1.3, 'height': 3.75, 'diameter': None, 'hole_diameter': 0.3, 'weight': None} | 宽5.9厘米，通高3.65厘米 | {'width': 5.9, 'height': 3.65}"
E54_量度_Artifact_玉器_76_量度信息,E54_量度,量度信息,"{'height': 3.8, 'width': 6.7, 'thickness': 0.35} |  | 上宽6.8厘米，下宽6.2厘米，通高3.9厘米，厚0.3厘米"
E54_量度_Artifact_玉器_77_量度信息,E54_量度,量度信息,"{'length': 8.8, 'diameter': 0.5} | "
E54_量度_Artifact_玉器_78_量度信息,E54_量度,量度信息,"{'length': 10.1, 'diameter': 0.55} | "
E54_量度_Artifact_玉器_79_量度信息,E54_量度,量度信息,"{'length': 16.4, 'diameter_min': 0.5, 'diameter_max': 0.75} | "
E54_量度_Artifact_玉器_80_量度信息,E54_量度,量度信息,"{'length': 15, 'diameter_min': 0.8, 'diameter_max': 0.85} | "
E54_量度_Artifact_玉器_81_量度信息,E54_量度,量度信息,"{'length': 15.3, 'diameter_min': 0.6, 'diameter_max': 0.7} | "
E54_量度_Artifact_玉器_82_量度信息,E54_量度,量度信息,"{'length': 10.3, 'diameter': 0.6} | "
E54_量度_Artifact_玉器_83_量度信息,E54_量度,量度信息,"{'length': 10.45, 'diameter': 0.6} | "
E54_量度_Artifact_玉器_84_量度信息,E54_量度,量度信息,"{'length': 9.35, 'diameter': 0.55} | "
E54_量度_Artifact_玉器_85_量度信息,E54_量度,量度信息,"{'length': 4.54, 'width': 0.97, 'height': 0.97} |  | {'length': 4.5}"
