id:ID,:LABEL,name
E55_Type_65c096fa88,E55_Type,圆孔加同心的4~6个半圆形刻槽
E55_Type_063322e985,E55_Type,细旋纹
E55_Type_8620b35d52,E55_Type,"螺旋纹填平行之字纹, 凸弦纹, 鸟纹"
E55_Type_397b02d226,E55_Type,“十”字刻划符号
E55_Type_5449382133,E55_Type,龟纹和带爪动物纹
E55_Type_06b529444c,E55_Type,变形网纹或变形网纹加鸟首蛇身纹
E55_Type_a0612d80d5,E55_Type,"凹旋纹, 刻划符号"
E55_Type_b9fc3d104e,E55_Type,压点纹
E55_Type_19bad6e8b1,E55_Type,"凹旋纹, 扁方形镂孔"
E55_Type_a1c1adeee6,E55_Type,锯齿形装饰
E55_Type_94c6e95adb,E55_Type,纵向条纹
E55_Type_24c5d3601b,E55_Type,成排分布的戳点纹
E55_Type_1b5e534dba,E55_Type,折角符号
E55_Type_852a058219,E55_Type,斜向抹划纹
E55_Type_5c02d56c24,E55_Type,花口
E55_Type_f5e6452f0a,E55_Type,鸟首蛇身纹为主纹，之间刻画以鸟首纹或卷云纹为接点的网纹
E55_Type_2bfdf58753,E55_Type,鸟首蛇身纹
E55_Type_47b87d8782,E55_Type,多鸟头纹
E55_Type_f622c6eed6,E55_Type,鱼鳞纹
E55_Type_2118243345,E55_Type,鸟纹
E55_Type_e424130e56,E55_Type,"圆形戳孔, 凸弦纹"
E55_Type_ac15978342,E55_Type,横向水波纹或横向水波纹加鸟首纹图案
E55_Type_447b951dee,E55_Type,成组凸弦纹
E55_Type_931cd99010,E55_Type,纵向水波纹
E55_Type_21d192c4fe,E55_Type,鸟头蛇身纹
E55_Type_5e30b59218,E55_Type,"变形网纹, 鸟首蛇身纹"
E55_Type_4ade756275,E55_Type,"平行线纹, 砖砌纹"
E55_Type_ce93d0c98c,E55_Type,平行线纹、砖砌纹、鸟首蛇身纹
E55_Type_3f91cd7786,E55_Type,叶脉纹
E55_Type_7d5915abb3,E55_Type,鸟形主纹、方格状地纹、带状装饰纹
E55_Type_09fa5952b2,E55_Type,"动物形刻划纹饰, 凹旋纹, 扁方形镂孔"
E55_Type_35cc681934,E55_Type,虫虾形
E55_Type_642dd18e1c,E55_Type,鱼形
E55_Type_e806ed887b,E55_Type,连续的刻符
E55_Type_9a4574898f,E55_Type,"褶棱, 扁圆孔"
E55_Type_729d456489,E55_Type,"凸弦纹, 扁圆镂孔"
E55_Type_edc5cae886,E55_Type,方框加叉形
E55_Type_f1b7ae4d7f,E55_Type,刮削或打磨
E55_Type_804cdc3b44,E55_Type,木形字符
E55_Type_812a25ff54,E55_Type,L形
E55_Type_dbf346973d,E55_Type,弧线放射纹
E55_Type_29c2499945,E55_Type,"红色宽带和窄带纹, 简化鸟纹"
E55_Type_0146e7639a,E55_Type,凹弦纹，扁圆穿孔
E55_Type_234619b559,E55_Type,"底边经刮削, 底面有旋痕和四个支点痕"
E55_Type_8fef834721,E55_Type,釉面有细冰裂纹
E55_Type_a74c2d26b3,E55_Type,腹部及底露红色胎质，露胎部分有13道凹旋纹
E55_Type_bbc3fa0bb6,E55_Type,外圈足底露胎
E55_Type_76581ecc67,E55_Type,内底有一圈凹槽及圈足套烧痕
E55_Type_19ac677ac0,E55_Type,低
E55_Type_01a0cbe797,E55_Type,分制后粘接
E55_Type_c52f289641,E55_Type,刮擦修整
E55_Type_612c78cd5c,E55_Type,线槽
E55_Type_9b53cbe35f,E55_Type,镂空花纹
E55_Type_75a7069891,E55_Type,纵向平行的划纹
E55_Type_bcafe9e183,E55_Type,纵向刻槽
E55_Type_d4722a2a7f,E55_Type,弦纹，纵向直槽
E55_Type_d93820d252,E55_Type,纵向划纹
E55_Type_4f4c90d1af,E55_Type,两侧有抹棱
E55_Type_a099201732,E55_Type,斜向戳点纹
E55_Type_25171ce141,E55_Type,交错刻划纹和零星戳点纹
E55_Type_557695b11f,E55_Type,密集的交错刻划纹和零星戳点纹
E55_Type_1bb2534259,E55_Type,圆形戳孔
E55_Type_bab2c9360e,E55_Type,稀疏的戳点纹
E55_Type_c4ce2d44be,E55_Type,竖向刻划纹和竖向长戳点纹
E55_Type_3c642132b3,E55_Type,竖向刻划纹和戳点纹
E55_Type_e7681b2157,E55_Type,稀疏的竖向刻划纹
E55_Type_0b1cc15d6c,E55_Type,竖向刻划纹和长戳点纹
E55_Type_1618a71695,E55_Type,戳点纹
E55_Type_475fff1bfe,E55_Type,戳线纹
E55_Type_1fba230ff8,E55_Type,刻槽
E55_Type_a5e0514fc0,E55_Type,截线
E55_Type_72f9cb883c,E55_Type,"按窝纹, 刻槽"
E55_Type_696a0105f2,E55_Type,"按窝纹, 斜向刻槽"
E55_Type_9a56c3b195,E55_Type,竖向平行的刻划纹
E55_Type_56abe62cea,E55_Type,间断竖向刻划纹
E55_Type_d87e008e76,E55_Type,"凹槽, 按窝"
E55_Type_56710f6793,E55_Type,“八”字形戳点纹
E55_Type_7a06788102,E55_Type,手工捏制
E55_Type_9c44238942,E55_Type,交叉的刻划纹
E55_Type_d32869dc18,E55_Type,"“八”字形刻划纹, 竖向刻划纹"
E55_Type_0a35a2b57c,E55_Type,按窝
E55_Type_e5f683b65b,E55_Type,竹节形凸棱
E55_Type_94e534d7ff,E55_Type,填线曲折纹
E55_Type_8f1e387427,E55_Type,"凸弦纹, 交错戳点"
E55_Type_f4c56c4804,E55_Type,"圆形大镂孔, 压纹"
E55_Type_3258af18d6,E55_Type,"褶棱, 凹旋纹, 扁圆镂孔"
E55_Type_06d203840f,E55_Type,"折棱, 圆形镂孔"
E55_Type_574f9bd6d5,E55_Type,抹棱
E55_Type_1bf5393f4b,E55_Type,"圆形镂孔, 三角形镂孔"
E55_Type_e21d6c462a,E55_Type,圆形镂孔、三角形镂孔
E55_Type_e5fad064fc,E55_Type,褶棱、凹旋纹
E55_Type_ad09e2d7da,E55_Type,平行线刻纹
E55_Type_b8bd30a411,E55_Type,填线抽象鸟纹
E55_Type_f9978abe21,E55_Type,"水波形戳点纹, 细弦纹"
E55_Type_95c589587a,E55_Type,"凸弦纹, 麻花形堆贴纹, 细旋纹"
E55_Type_109b7d7bd1,E55_Type,Aa型
E55_Type_b8ccf8bc6d,E55_Type,突脊
E55_Type_6159de65bc,E55_Type,"凸弦纹, 平行划线"
E55_Type_7462b60e5b,E55_Type,直线划纹
E55_Type_385489ca13,E55_Type,"凸弦纹, 扁圆孔"
E55_Type_f06558037c,E55_Type,凹弦痕
