id,name,category,height,
obj_00630a33,40,Pottery,,E22_Man_Made_Object
obj_d8153fc0,200,Pottery,,E22_Man_Made_Object
obj_6e536795,201,Pottery,,E22_Man_Made_Object
obj_aa16e33a,61,Pottery,,E22_Man_Made_Object
obj_4aa09544,62,Pottery,,E22_Man_Made_Object
obj_af781577,64,Pottery,,E22_Man_Made_Object
obj_8197ce0d,63,Pottery,,E22_Man_Made_Object
obj_ba15f2f1,65,Pottery,,E22_Man_Made_Object
obj_1ced40e0,66,Pottery,,E22_Man_Made_Object
obj_43460d30,M22:63,Pottery,,E22_Man_Made_Object
obj_cd1fc2f5,M22:62,Pottery,,E22_Man_Made_Object
obj_ca793bc4,M22:64,Pottery,,E22_Man_Made_Object
obj_71341e1d,M22:67,Pottery,,E22_Man_Made_Object
obj_edffc699,65-66,Pottery,,E22_Man_Made_Object
obj_f5f2f085,M23:200,Pottery,,E22_Man_Made_Object
obj_9f151f13,M23:201,Pottery,,E22_Man_Made_Object
obj_1e0d0d65,M23:207,Pottery,,E22_Man_Made_Object
obj_0d3d8352,M23:187-1,Pottery,1.9,E22_Man_Made_Object
obj_7036695c,M23:187-2,Pottery,2.25,E22_Man_Made_Object
obj_2792d333,M23:188,Pottery,2.85,E22_Man_Made_Object
obj_03cb4754,M23:189,Pottery,2.4,E22_Man_Made_Object
obj_3e72460c,M23:195,Pottery,2.5,E22_Man_Made_Object
obj_c54f6aa3,M23:199,Pottery,2.4,E22_Man_Made_Object
obj_cf816f8f,M23:205,Pottery,2.55,E22_Man_Made_Object
obj_e38401f7,M23:209,Pottery,3.6,E22_Man_Made_Object
obj_d3db2192,203,Pottery,,E22_Man_Made_Object
obj_57977767,207,Pottery,,E22_Man_Made_Object
obj_ec1c43bd,204,Pottery,,E22_Man_Made_Object
obj_feede8b4,208,Pottery,,E22_Man_Made_Object
obj_664250f2,210,Pottery,,E22_Man_Made_Object
obj_bc9f1aef,M21:1,Pottery,,E22_Man_Made_Object
obj_32d07932,M21:2,Pottery,,E22_Man_Made_Object
obj_b0ce7bf4,M21:3,Pottery,,E22_Man_Made_Object
obj_39f0d400,M12:1,Pottery,,E22_Man_Made_Object
obj_13b2f4e5,M12:129-1,Pottery,,E22_Man_Made_Object
obj_eb8c2059,M12:129-2,Pottery,,E22_Man_Made_Object
obj_70ae609a,M20:200,Pottery,18.3,E22_Man_Made_Object
obj_ca3de304,M20:201,Pottery,17.7,E22_Man_Made_Object
obj_528b58cd,M22:200,Pottery,,E22_Man_Made_Object
obj_892c9ea3,M22:201,Pottery,,E22_Man_Made_Object
obj_77b1f2e9,M1:5,Pottery,16.0,E22_Man_Made_Object
obj_6f936f93,M1:7,Pottery,15.4,E22_Man_Made_Object
obj_49f68871,M1:19,Pottery,22.0,E22_Man_Made_Object
obj_989e3c5b,M2:14,Pottery,15.5,E22_Man_Made_Object
obj_9dda52ee,M2:15,Pottery,10.8,E22_Man_Made_Object
obj_0433a922,M2:16,Pottery,,E22_Man_Made_Object
obj_9be064b2,M3:7,Pottery,14.8,E22_Man_Made_Object
obj_7479f56a,M3:8,Pottery,,E22_Man_Made_Object
obj_640adc8e,M3:9,Pottery,6.6,E22_Man_Made_Object
obj_2e587557,M4:7,Pottery,,E22_Man_Made_Object
obj_38564e22,M5:1,Pottery,12.0,E22_Man_Made_Object
obj_71f767f8,M5:2,Pottery,6.0,E22_Man_Made_Object
obj_fc265042,M5:3,Pottery,11.0,E22_Man_Made_Object
obj_320fe18f,M6:8,Pottery,12.2,E22_Man_Made_Object
obj_c5026e70,M6:9,Pottery,13.0,E22_Man_Made_Object
obj_6e44e3c8,M6:10,Pottery,,E22_Man_Made_Object
obj_f1d5ed9a,M7:1,Pottery,5.6,E22_Man_Made_Object
obj_4a853692,M7:6,Pottery,10.0,E22_Man_Made_Object
obj_34a98bbc,M7:7,Pottery,13.0,E22_Man_Made_Object
obj_ac3d2490,M7:8,Pottery,,E22_Man_Made_Object
obj_29066bf0,M7:9,Pottery,14.4,E22_Man_Made_Object
obj_9374e3ac,M8:7,Pottery,15.6,E22_Man_Made_Object
obj_e35dd82d,M8:8,Pottery,16.0,E22_Man_Made_Object
obj_b21ca79b,M8:9,Pottery,8.7,E22_Man_Made_Object
obj_6f2efee9,M9:10,Pottery,13.4,E22_Man_Made_Object
obj_f4d7a497,M9:11,Pottery,12.4,E22_Man_Made_Object
obj_3cfd0d28,M9:12,Pottery,17.0,E22_Man_Made_Object
obj_06f1a176,M10:1,Pottery,13.4,E22_Man_Made_Object
obj_9f786119,M10:2,Pottery,8.8,E22_Man_Made_Object
obj_f4b65324,M10:3,Pottery,12.9,E22_Man_Made_Object
obj_3e863b9b,M11:2,Pottery,7.8,E22_Man_Made_Object
obj_b7b65c77,M12:5,Pottery,12.9,E22_Man_Made_Object
obj_3bc22d44,M12:7,Pottery,16.0,E22_Man_Made_Object
obj_3562d9f0,M13:13,Pottery,8.0,E22_Man_Made_Object
obj_8b3811cc,M13:14,Pottery,13.4,E22_Man_Made_Object
obj_2cc1d7c7,M13:15,Pottery,12.0,E22_Man_Made_Object
obj_766c8678,M14:12,Pottery,8.6,E22_Man_Made_Object
obj_4006ab9d,M14:13,Pottery,13.0,E22_Man_Made_Object
obj_4748c8cc,M14:14,Pottery,,E22_Man_Made_Object
obj_72e71c84,M15:4,Pottery,8.5,E22_Man_Made_Object
obj_63c265f7,M15:5,Pottery,12.0,E22_Man_Made_Object
obj_1c380cf9,M15:6,Pottery,17.0,E22_Man_Made_Object
obj_5ab2db3e,M16:23,Pottery,11.0,E22_Man_Made_Object
obj_32deb21e,M16:24,Pottery,15.9,E22_Man_Made_Object
obj_f06abd17,M16:25,Pottery,16.8,E22_Man_Made_Object
obj_2aa5c626,M17:1,Pottery,13.4,E22_Man_Made_Object
obj_49de22f5,M17:3,Pottery,6.6,E22_Man_Made_Object
obj_be50faf5,M18:1,Pottery,,E22_Man_Made_Object
